root_sentence,perturbed_sentence,method,predicted_root,is_correct
I rented I AM CURIOUS-YELLOW from my video store because of all the controversy that surrounded it when it was first released in 1967.,"Because of the controversy surrounding I AM CURIOUS-YELLOW when it was first released in 1967, I rented it from my video store.",paraphrasing,I rented I AM CURIOUS-YELLOW from my video store because of all the controversy that surrounded it when it was first released in 1967.,True
In particular she wants to focus her attentions to making some sort of documentary on what the average Swede thought about certain political issues such as the Vietnam War and race issues in the United States.,"She aims to shift her focus towards making a documentary that documents the perspective of average Swedes on political and societal issues, such as the Vietnam War and race relations in the United States.",paraphrasing,In particular she wants to focus her attentions to making some sort of documentary on what the average Swede thought about certain political issues such as the Vietnam War and race issues in the United States.,True
"Really, the sex and nudity scenes are few and far between, even then it's not shot like some cheaply made porno.","The sex and nudity scenes are infrequent, and even then, they're not as well-recorded as they would be in a poorly made pornographic film.",paraphrasing,"Really, the sex and nudity scenes are few and far between, even then it's not shot like some cheaply made porno.",True
"While my countrymen mind find it shocking, in reality sex and nudity are a major staple in Swedish cinema.","Sex and nudity in Swedish films have become a major part of the film industry, a fact that is hard to shake off from, even for my countrymen's minds.",paraphrasing,"While my countrymen mind find it shocking, in reality sex and nudity are a major staple in Swedish cinema.",True
I AM CURIOUS-YELLOW is a good film for anyone wanting to study the meat and potatoes (no pun intended) of Swedish cinema.,I AM CURIOUS-YELLOW is a film that is a good introduction to Swedish cinema's meat and potatoes (no pun intended).,paraphrasing,I AM CURIOUS-YELLOW is a good film for anyone wanting to study the meat and potatoes (no pun intended) of Swedish cinema.,True
"""I Am Curious: Yellow"" is a risible and pretentious steaming pile.","""I Am Curious: Yellow"" is a steaming pile that is both risqué and ostentatious.",paraphrasing,"""I Am Curious: Yellow"" is a risible and pretentious steaming pile.",True
It doesn't matter what one's political views are because this film can hardly be taken seriously on any level.,"Regardless of one's political stance, this film is highly insipid and can never be taken seriously.",paraphrasing,It doesn't matter what one's political views are because this film can hardly be taken seriously on any level.,True
"As for the claim that frontal male nudity is an automatic NC-17, that isn't true.","Frontal male nudity is not an automatic NC-17, as some argue that it is.",paraphrasing,"As for the claim that frontal male nudity is an automatic NC-17, that isn't true.",True
"Granted, they only offer some fleeting views, but where are the R-rated films with gaping vulvas and flapping labia?","Where are the R-rated movies with gaping vulvas and flapping labia, even though they offer only a few fleeting glimpses?",paraphrasing,"Granted, they only offer some fleeting views, but where are the R-rated films with gaping vulvas and flapping labia?",True
The same goes for those crappy cable shows: schlongs swinging in the breeze but not a clitoris in sight.,The same goes for those unsatisfying cable networks: schlongs swaying in the wind but no clitoris in sight.,paraphrasing,The same goes for those crappy cable shows: schlongs swinging in the breeze but not a clitoris in sight.,True
"And those pretentious indie movies like The Brown Bunny, in which we're treated to the site of Vincent Gallo's throbbing johnson, but not a trace of pink visible on Chloe Sevigny.","Those pretentious indie films like The Brown Bunny, where we're treated to the scene of Vincent Gallo's violent murder, but there's not a hint of pink on Chloe Sevigny's skin.",paraphrasing,"And those pretentious indie movies like The Brown Bunny, in which we're treated to the site of Vincent Gallo's throbbing johnson, but not a trace of pink visible on Chloe Sevigny.",True
"In fact, you generally won't see female genitals in an American film in anything short of porn or explicit erotica.",Female genitalia are typically absent in American movies that are not classified as pornographic or explicit erotica.,paraphrasing,"In fact, you generally won't see female genitals in an American film in anything short of porn or explicit erotica.",True
This alleged double-standard is less a double standard than an admittedly depressing ability to come to terms culturally with the insides of women's bodies.,The supposed double-standard is less of a double-standard and more of a genuinely depressing ability to come to terms with the cultural realities of women's bodies.,paraphrasing,This alleged double-standard is less a double standard than an admittedly depressing ability to come to terms culturally with the insides of women's bodies.,True
If only to avoid making this type of film in the future.,The goal is to prevent the production of such films in the future.,paraphrasing,If only to avoid making this type of film in the future.,True
This film is interesting as an experiment but tells no cogent story.  One might feel virtuous for sitting thru it because it touches on so many IMPORTANT issues but it does so without any discernable motive.,"Despite being entertaining as an experiment, this film does not contain any meaningful information. It touches on many important issues without any discernible rationale. One might feel virtuous for watching this film because it is a waste of time and energy.",paraphrasing,This film is interesting as an experiment but tells no cogent story.  One might feel virtuous for sitting thru it because it touches on so many IMPORTANT issues but it does so without any discernable motive.,True
"This film was probably inspired by Godard's Masculin, féminin and I urge you to see that film instead.  The film has two strong elements and those are, (1) the realistic acting (2) the impressive, undeservedly good, photo.","Godard's Masculin, féminin may have been the inspiration for this movie and the film has two strong points: the realistic portrayal and the impressive photo.",paraphrasing,"This film was probably inspired by Godard's Masculin, féminin and I urge you to see that film instead.  The film has two strong elements and those are, (1) the realistic acting (2) the impressive, undeservedly good, photo.",True
"Apart from that, what strikes me most is the endless stream of silliness.","With the exception of that, the most striking aspect is the unrelenting stream of nonsensical nonsense.",paraphrasing,"Apart from that, what strikes me most is the endless stream of silliness.",True
Lena Nyman has to be most annoying actress in the world.,Lena Nyman is the world's most irritating actress.,paraphrasing,Lena Nyman has to be most annoying actress in the world.,True
"She acts so stupid and with all the nudity in this film,...it's unattractive.","She's so foolish and with all the nudity in this movie,...it's unattractive.",paraphrasing,"She acts so stupid and with all the nudity in this film,...it's unattractive.",True
"Without going too far on this subject, I would say that follows from the difference in ideals between the French and the Swedish society.  A movie of its time, and place.","I wouldn't go into detail, but I believe that the French and Swedish society's idealized film is a true representation of their time and place.",paraphrasing,"Without going too far on this subject, I would say that follows from the difference in ideals between the French and the Swedish society.  A movie of its time, and place.",True
"Oh, brother...after hearing about this ridiculous film for umpteen years all I can think of is that old Peggy Lee song..  ""Is that all there is??""","After hearing about this ridiculous movie for years, I can't help but think about that Peggy Lee song. ""Is that all there is?""",paraphrasing,"Oh, brother...after hearing about this ridiculous film for umpteen years all I can think of is that old Peggy Lee song..  ""Is that all there is??""",True
...I was just an early teen when this smoked fish hit the U.S.,"When this smoked fish first appeared in the U.S. in my early teen years, I was an early teen.",paraphrasing,...I was just an early teen when this smoked fish hit the U.S.,True
"I was too young to get in the theater (although I did manage to sneak into ""Goodbye Columbus"").","I was too young to go to the theater (but I did get a sneak peek of ""Goodbye Columbus"").",paraphrasing,"I was too young to get in the theater (although I did manage to sneak into ""Goodbye Columbus"").",True
"Then a screening at a local film museum beckoned - Finally I could see this film, except now I was as old as my parents were when they schlepped to see it!","Suddenly, a local film museum showed me a movie after a long wait - I was as young as my parents when they arrived, even though they had already gone to see it.",paraphrasing,"Then a screening at a local film museum beckoned - Finally I could see this film, except now I was as old as my parents were when they schlepped to see it!",True
!  The ONLY reason this film was not condemned to the anonymous sands of time was because of the obscenity case sparked by its U.S. release.,The only reason this film was not condemned to the anonymous sands of time was because of the obscenity case sparked by its U.S. release.,paraphrasing,!  The ONLY reason this film was not condemned to the anonymous sands of time was because of the obscenity case sparked by its U.S. release.,True
I would put this at the top of my list of films in the category of unwatchable trash!,"Among the movies I consider to be unwatchable trash, this one should be at the top of my must-watch list.",paraphrasing,I would put this at the top of my list of films in the category of unwatchable trash!,True
"There are films that are bad, but the worst kind are the ones that are unwatchable but you are suppose to like them because they are supposed to be good for you!",The worst kind of movies are the ones that are unwatchable but supposed to be enjoyable because they are supposed to be good for you.,paraphrasing,"There are films that are bad, but the worst kind are the ones that are unwatchable but you are suppose to like them because they are supposed to be good for you!",True
"The sex sequences, so shocking in its day, couldn't even arouse a rabbit.","The sexual sequences, so unexpected in its time, were invulnerable to arousing even a rabbit.",paraphrasing,"The sex sequences, so shocking in its day, couldn't even arouse a rabbit.",True
The so called controversial politics is strictly high school sophomore amateur night Marxism.,"The so-called ""controversial politics"" involves a Marxism practiced on a strictly sophomore amateur night in high school.",paraphrasing,The so called controversial politics is strictly high school sophomore amateur night Marxism.,True
The film is self-consciously arty in the worst sense of the term.,The film is a work of self-deprecating art in the worst-case scenario.,paraphrasing,The film is self-consciously arty in the worst sense of the term.,True
Some scenes are out of focus or taken from the wrong angle.,Certain scenes may be out of focus or captured from the wrong perspective.,paraphrasing,Some scenes are out of focus or taken from the wrong angle.,True
"Whoever wrote the screenplay for this movie obviously never consulted any books about Lucille Ball, especially her autobiography.","It is evident that the individual who wrote the screenplay for this movie never delved into any literature related to Lucille Ball, particularly her autobiography.",paraphrasing,"Whoever wrote the screenplay for this movie obviously never consulted any books about Lucille Ball, especially her autobiography.",True
"I've never seen so many mistakes in a biopic, ranging from her early years in Celoron and Jamestown to her later years with Desi.","I've never encountered such a high number of errors in a biographical film, from her childhood in Celoron and Jamestown to her later years with Desi.",paraphrasing,"I've never seen so many mistakes in a biopic, ranging from her early years in Celoron and Jamestown to her later years with Desi.",True
"I could write a whole list of factual errors, but it would go on for pages.","I could create a comprehensive list of factual errors, but it would take hours and pages.",paraphrasing,"I could write a whole list of factual errors, but it would go on for pages.",True
"In all, I believe that Lucille Ball is one of those inimitable people who simply cannot be portrayed by anyone other than themselves.","Lucille Ball is one of those rare people who, in my opinion, cannot be replicated by anyone but herself.",paraphrasing,"In all, I believe that Lucille Ball is one of those inimitable people who simply cannot be portrayed by anyone other than themselves.",True
"If I were Lucie Arnaz and Desi, Jr., I would be irate at how many mistakes were made in this film.","If I were Lucie Arnaz and Desi, Jr., I would be shocked to learn that there were numerous errors in this film.",paraphrasing,"If I were Lucie Arnaz and Desi, Jr., I would be irate at how many mistakes were made in this film.",True
"The filmmakers tried hard, but the movie seems awfully sloppy to me.","Despite the filmmakers' best efforts, the movie feels a little carefree to me, at least on the surface.",paraphrasing,"The filmmakers tried hard, but the movie seems awfully sloppy to me.",True
"When I first saw a glimpse of this movie, I quickly noticed the actress who was playing the role of Lucille Ball.","Upon viewing the movie for the first time, I was immediately captivated by the actress playing Lucille Ball.",paraphrasing,"When I first saw a glimpse of this movie, I quickly noticed the actress who was playing the role of Lucille Ball.",True
To think about a legend like Lucille Ball being portrayed the way she was in the movie is horrendous.,"It's a tragedy that a legend like Lucille Ball was depicted the way she was in the movie, which is a pitiful portrayal.",paraphrasing,To think about a legend like Lucille Ball being portrayed the way she was in the movie is horrendous.,True
"I cannot believe out of all the actresses in the world who could play a much better Lucy, the producers decided to get Rachel York.","Rachel York was chosen by the producers as the only actress who could play a better role as Lucy, out of all the actresses worldwide.",paraphrasing,"I cannot believe out of all the actresses in the world who could play a much better Lucy, the producers decided to get Rachel York.",True
She might be a good actress in other roles but to play the role of Lucille Ball is tough.,"Despite potential talent for other roles, she finds it challenging to perform as Lucille Ball.",paraphrasing,She might be a good actress in other roles but to play the role of Lucille Ball is tough.,True
"It is pretty hard to find someone who could resemble Lucille Ball, but they could at least find someone a bit similar in looks and talent.","Finding someone like Lucille Ball is almost impossible, but they could at least find someone with a bit of similarity in appearance and skill.",paraphrasing,"It is pretty hard to find someone who could resemble Lucille Ball, but they could at least find someone a bit similar in looks and talent.",True
"He's small and skinny, his accent is unreal, and once again, his acting is unbelievable.","He's small and lean, his accent is surreal, and his acting is once again outstanding.",paraphrasing,"He's small and skinny, his accent is unreal, and once again, his acting is unbelievable.",True
"Although Fred and Ethel were not similar either, they were not as bad as the characters of Lucy and Ricky.  Overall, extremely horrible casting and the story is badly told.","Despite their differences in character, Fred and Ethel were not as overly bad as the characters of Lucy and Ricky. The casting was poor and the story was poorly told.",paraphrasing,"Although Fred and Ethel were not similar either, they were not as bad as the characters of Lucy and Ricky.  Overall, extremely horrible casting and the story is badly told.",True
"If people want to understand the real life situation of Lucille Ball, I suggest watching A&E Biography of Lucy and Desi, read the book from Lucille Ball herself, or PBS' American Masters: Finding Lucy.","For those interested in learning about Lucille Ball's life, I recommend watching A&E Biography of Lucy and Desi, reading Lucille Ball's book, or watching PBS' American Masters: Finding Lucy.",paraphrasing,"If people want to understand the real life situation of Lucille Ball, I suggest watching A&E Biography of Lucy and Desi, read the book from Lucille Ball herself, or PBS' American Masters: Finding Lucy.",True
"If you want to see a docudrama, ""Before the Laughter"" would be a better choice.","""Before the Laughter"" would be a preferable option for a docudrama viewing.",paraphrasing,"If you want to see a docudrama, ""Before the Laughter"" would be a better choice.",True
"The casting of Lucille Ball and Desi Arnaz in ""Before the Laughter"" is much better compared to this.","Lucille Ball and Desi Arnaz's performances in ""Before the Laughter"" far outshine this.",paraphrasing,"The casting of Lucille Ball and Desi Arnaz in ""Before the Laughter"" is much better compared to this.",True
Certainly couldn't be the audience- this is among the most air-puffed productions in existence.,The audience won't be interested in watching this production - it's one of the most airy ones ever.,paraphrasing,Certainly couldn't be the audience- this is among the most air-puffed productions in existence.,True
"Ben Gazzara sports his usual cat's-got-canary grin in a futile attempt to elevate the meager plot, which requires him to pursue Audrey Hepburn with all the interest of a narcoleptic at an insomnia clinic.","Ben Gazzara makes an effort to elevate the plot of Audrey Hepburn while sporting his trademark cat's-got-canary grin, but ultimately has no choice but to follow the lead of a narcissistic Audrey Hepburn at an insomnia clinic.",paraphrasing,"Ben Gazzara sports his usual cat's-got-canary grin in a futile attempt to elevate the meager plot, which requires him to pursue Audrey Hepburn with all the interest of a narcoleptic at an insomnia clinic.",True
"In the meantime, the budding couple's respective children (nepotism alert: Bogdanovich's daughters) spew cute and pick up some fairly disturbing pointers on 'love' while observing their parents.","In the meantime, the budding couple's children (nepotism in the case of Bogdanovich's daughters) spit and absorbed some rather disturbing pointers on 'love' while observing their parents.",paraphrasing,"In the meantime, the budding couple's respective children (nepotism alert: Bogdanovich's daughters) spew cute and pick up some fairly disturbing pointers on 'love' while observing their parents.",True
"(Ms. Hepburn, drawing on her dignity, manages to rise above the proceedings- but she has the monumental challenge of playing herself, ostensibly.)","Using her dignity, Ms. Hepburn manages to outshine the proceedings- but the added challenge is that she mustn't have played the role of an out-of-the-box performer.",paraphrasing,"(Ms. Hepburn, drawing on her dignity, manages to rise above the proceedings- but she has the monumental challenge of playing herself, ostensibly.)",True
