root_sentence,perturbed_sentence,method,predicted_root,is_correct
I rented I AM CURIOUS-YELLOW from my video store because of all the controversy that surrounded it when it was first released in 1967.,I rented I AM CURIOUS-YELLOW from my video store because of all the controversy surrounding it when it was first released in 1967.,back-translation,I rented I AM CURIOUS-YELLOW from my video store because of all the controversy that surrounded it when it was first released in 1967.,True
I rented I AM CURIOUS-YELLOW from my video store because of all the controversy that surrounded it when it was first released in 1967.,I rented I AM CURIOUS-YELLOW from my video store because of the controversy surrounding it when it was first released.,paraphrasing,I rented I AM CURIOUS-YELLOW from my video store because of all the controversy that surrounded it when it was first released in 1967.,True
In particular she wants to focus her attentions to making some sort of documentary on what the average Swede thought about certain political issues such as the Vietnam War and race issues in the United States.,"In particular, she would like to focus her attention on making some kind of documentation about what the average Swede thought about certain political issues such as the Vietnam War and racial issues in the United States.",back-translation,In particular she wants to focus her attentions to making some sort of documentary on what the average Swede thought about certain political issues such as the Vietnam War and race issues in the United States.,True
In particular she wants to focus her attentions to making some sort of documentary on what the average Swede thought about certain political issues such as the Vietnam War and race issues in the United States.,She wants to make a documentary about what the average Swede thought about certain political issues such as the Vietnam War and race issues in the United States.,paraphrasing,In particular she wants to focus her attentions to making some sort of documentary on what the average Swede thought about certain political issues such as the Vietnam War and race issues in the United States.,True
"In between asking politicians and ordinary denizens of Stockholm about their opinions on politics, she has sex with her drama teacher, classmates, and married men.<br /><br />What kills me about I AM CURIOUS-YELLOW is that 40 years ago, this was considered pornographic.","Between the question of politicians and ordinary denizens from Stockholm about their opinion on politics, she has sex with her acting teacher, classmates and married men. <br />What kills me about I AM CURIOUS-YELLOW is that 40 years ago this was considered pornographic.",back-translation,"In between asking politicians and ordinary denizens of Stockholm about their opinions on politics, she has sex with her drama teacher, classmates, and married men.<br /><br />What kills me about I AM CURIOUS-YELLOW is that 40 years ago, this was considered pornographic.",True
"In between asking politicians and ordinary denizens of Stockholm about their opinions on politics, she has sex with her drama teacher, classmates, and married men.<br /><br />What kills me about I AM CURIOUS-YELLOW is that 40 years ago, this was considered pornographic.","She has sex with her drama teacher, classmates, and married men in between asking politicians and ordinary denizens of Stockholm about their opinions on politics.",paraphrasing,"In between asking politicians and ordinary denizens of Stockholm about their opinions on politics, she has sex with her drama teacher, classmates, and married men.<br /><br />What kills me about I AM CURIOUS-YELLOW is that 40 years ago, this was considered pornographic.",True
"Really, the sex and nudity scenes are few and far between, even then it's not shot like some cheaply made porno.","Really, the sex and nudity scenes are few and far between, even then it's not like some cheaply made porn shot.",back-translation,"Really, the sex and nudity scenes are few and far between, even then it's not shot like some cheaply made porno.",True
"Really, the sex and nudity scenes are few and far between, even then it's not shot like some cheaply made porno.",The sex and nudity scenes are not shot like porno movies.,paraphrasing,"Really, the sex and nudity scenes are few and far between, even then it's not shot like some cheaply made porno.",True
"While my countrymen mind find it shocking, in reality sex and nudity are a major staple in Swedish cinema.","While my compatriots think it's shocking, in reality sex and nudity are a main staple in Swedish cinema.",back-translation,"While my countrymen mind find it shocking, in reality sex and nudity are a major staple in Swedish cinema.",True
"While my countrymen mind find it shocking, in reality sex and nudity are a major staple in Swedish cinema.",Sex and nudity are a big part of Swedish cinema.,paraphrasing,"While my countrymen mind find it shocking, in reality sex and nudity are a major staple in Swedish cinema.",True
I AM CURIOUS-YELLOW is a good film for anyone wanting to study the meat and potatoes (no pun intended) of Swedish cinema.,I AM CURIOUS-YELLOW is a good film for everyone who wants to study the meat and potatoes (no pun) of the Swedish cinema.,back-translation,I AM CURIOUS-YELLOW is a good film for anyone wanting to study the meat and potatoes (no pun intended) of Swedish cinema.,True
I AM CURIOUS-YELLOW is a good film for anyone wanting to study the meat and potatoes (no pun intended) of Swedish cinema.,The meat and potatoes of Swedish cinema can be studied in I am CURIOUS-YELLOW.,paraphrasing,I AM CURIOUS-YELLOW is a good film for anyone wanting to study the meat and potatoes (no pun intended) of Swedish cinema.,True
"""I Am Curious: Yellow"" is a risible and pretentious steaming pile.","""I Am Curious Yellow"" is a cracked and presumptuous steam heap.",back-translation,"""I Am Curious: Yellow"" is a risible and pretentious steaming pile.",True
"""I Am Curious: Yellow"" is a risible and pretentious steaming pile.","""I Am Curious: Yellow"" is pretentious and risible.",paraphrasing,"""I Am Curious: Yellow"" is a risible and pretentious steaming pile.",True
It doesn't matter what one's political views are because this film can hardly be taken seriously on any level.,"It doesn't matter what your own political views are, because this film cannot be taken seriously at any level.",back-translation,It doesn't matter what one's political views are because this film can hardly be taken seriously on any level.,True
It doesn't matter what one's political views are because this film can hardly be taken seriously on any level.,This film can't be taken seriously because of what one's political views are.,paraphrasing,It doesn't matter what one's political views are because this film can hardly be taken seriously on any level.,True
"As for the claim that frontal male nudity is an automatic NC-17, that isn't true.","As for the claim that frontal male nudity is an automatic NC-17, that's not true.",back-translation,"As for the claim that frontal male nudity is an automatic NC-17, that isn't true.",True
"As for the claim that frontal male nudity is an automatic NC-17, that isn't true.",The claim that male nudity is automatic is not true.,paraphrasing,"As for the claim that frontal male nudity is an automatic NC-17, that isn't true.",True
"Granted, they only offer some fleeting views, but where are the R-rated films with gaping vulvas and flapping labia?","Admittedly, they offer only some fleeting views, but where are the R-rated films with gaping vulva and fluttering labia?",back-translation,"Granted, they only offer some fleeting views, but where are the R-rated films with gaping vulvas and flapping labia?",True
"Granted, they only offer some fleeting views, but where are the R-rated films with gaping vulvas and flapping labia?","They only offer fleeting views, but where are the R-rated films with gaping vulvas and flapping labia?",paraphrasing,"Granted, they only offer some fleeting views, but where are the R-rated films with gaping vulvas and flapping labia?",True
The same goes for those crappy cable shows: schlongs swinging in the breeze but not a clitoris in sight.,"The same goes for these fucking cables shows: schlongs swings in the breeze, but no clitoris in sight.",back-translation,The same goes for those crappy cable shows: schlongs swinging in the breeze but not a clitoris in sight.,True
The same goes for those crappy cable shows: schlongs swinging in the breeze but not a clitoris in sight.,"schlongs swinging in the breeze, but not a clitoris in sight, is the same thing as those crappy cable shows.",paraphrasing,The same goes for those crappy cable shows: schlongs swinging in the breeze but not a clitoris in sight.,True
"And those pretentious indie movies like The Brown Bunny, in which we're treated to the site of Vincent Gallo's throbbing johnson, but not a trace of pink visible on Chloe Sevigny.","And these pretentious indie movies like The Brown Bunny, where we're treated in the place of Vincent Gallo's pulsating Johnson, but no trace of pink that can be seen on Chloe Sevigny.",back-translation,"And those pretentious indie movies like The Brown Bunny, in which we're treated to the site of Vincent Gallo's throbbing johnson, but not a trace of pink visible on Chloe Sevigny.",True
"And those pretentious indie movies like The Brown Bunny, in which we're treated to the site of Vincent Gallo's throbbing johnson, but not a trace of pink visible on Chloe Sevigny.","In The Brown Bunny, we are treated to the site ofVincent Gallo's throbbing johnson, but not a trace of pink visible onChloe Sevigny.",paraphrasing,"And those pretentious indie movies like The Brown Bunny, in which we're treated to the site of Vincent Gallo's throbbing johnson, but not a trace of pink visible on Chloe Sevigny.",True
"Before crying (or implying) ""double-standard"" in matters of nudity, the mentally obtuse should take into account one unavoidably obvious anatomical difference between men and women: there are no genitals on display when actresses appears nude, and the same cannot be said for a man.","Before crying (or implying) ""double standard"" in nudity issues, the mentally dull should consider an unavoidable obvious anatomical difference between men and women: there are no genitals to show when actresses appear naked, and the same cannot be said for a man.",back-translation,"Before crying (or implying) ""double-standard"" in matters of nudity, the mentally obtuse should take into account one unavoidably obvious anatomical difference between men and women: there are no genitals on display when actresses appears nude, and the same cannot be said for a man.",True
"Before crying (or implying) ""double-standard"" in matters of nudity, the mentally obtuse should take into account one unavoidably obvious anatomical difference between men and women: there are no genitals on display when actresses appears nude, and the same cannot be said for a man.","Before crying (or implying) ""double-standard"" in matters of nudity, the mentally obtuse should take into account one unavoidably obvious anatomical difference between men and women: there are no genitals on display when actresses appears nude, and the same cannot be said for a man.",paraphrasing,"Before crying (or implying) ""double-standard"" in matters of nudity, the mentally obtuse should take into account one unavoidably obvious anatomical difference between men and women: there are no genitals on display when actresses appears nude, and the same cannot be said for a man.",True
"In fact, you generally won't see female genitals in an American film in anything short of porn or explicit erotica.","In fact, you will usually not see female genitals in an American movie in nothing without porn or explicit eroticism.",back-translation,"In fact, you generally won't see female genitals in an American film in anything short of porn or explicit erotica.",True
"In fact, you generally won't see female genitals in an American film in anything short of porn or explicit erotica.",You won't see female genitals in an American film unless it's porn or explicit erotica.,paraphrasing,"In fact, you generally won't see female genitals in an American film in anything short of porn or explicit erotica.",True
This alleged double-standard is less a double standard than an admittedly depressing ability to come to terms culturally with the insides of women's bodies.,This alleged double standard is less a double standard than an admittedly depressing ability to deal culturally with the inside of women's bodies.,back-translation,This alleged double-standard is less a double standard than an admittedly depressing ability to come to terms culturally with the insides of women's bodies.,True
This alleged double-standard is less a double standard than an admittedly depressing ability to come to terms culturally with the insides of women's bodies.,The ability to come to terms with the insides of women's bodies is not a double standard.,paraphrasing,This alleged double-standard is less a double standard than an admittedly depressing ability to come to terms culturally with the insides of women's bodies.,True
If only to avoid making this type of film in the future.,If only to avoid this kind of film in the future.,back-translation,If only to avoid making this type of film in the future.,True
If only to avoid making this type of film in the future.,This type of film should not be made in the future.,paraphrasing,If only to avoid making this type of film in the future.,True
This film is interesting as an experiment but tells no cogent story.<br /><br />One might feel virtuous for sitting thru it because it touches on so many IMPORTANT issues but it does so without any discernable motive.,"This film is interesting as an experiment, but doesn't tell a convincing story. <br />You may feel virtuous when you sit through it because it touches so many IMPORTANT themes, but without any recognizable motive.",back-translation,This film is interesting as an experiment but tells no cogent story.<br /><br />One might feel virtuous for sitting thru it because it touches on so many IMPORTANT issues but it does so without any discernable motive.,True
This film is interesting as an experiment but tells no cogent story.<br /><br />One might feel virtuous for sitting thru it because it touches on so many IMPORTANT issues but it does so without any discernable motive.,The film is interesting as an experiment but does not tell a good story.,paraphrasing,This film is interesting as an experiment but tells no cogent story.<br /><br />One might feel virtuous for sitting thru it because it touches on so many IMPORTANT issues but it does so without any discernable motive.,True
"The viewer comes away with no new perspectives (unless one comes up with one while one's mind wanders, as it will invariably do during this pointless film).<br /><br />One might better spend one's time staring out a window at a tree growing.<br /><br />",The viewer does not get away with any new perspectives (unless one comes with one as his mind wanders as it will always do during this senseless film). <br /> One should spend more time staring at a tree from a window. <br /> <br /> <br />,back-translation,"The viewer comes away with no new perspectives (unless one comes up with one while one's mind wanders, as it will invariably do during this pointless film).<br /><br />One might better spend one's time staring out a window at a tree growing.<br /><br />",True
"The viewer comes away with no new perspectives (unless one comes up with one while one's mind wanders, as it will invariably do during this pointless film).<br /><br />One might better spend one's time staring out a window at a tree growing.<br /><br />","The viewer comes away with no new perspectives (unless one comes up with one while one's mind wanders, as it will invariably do during this pointless film).<br /><br />One might better spend one's time staring out a window at a tree growing.<br /><br />",paraphrasing,"The viewer comes away with no new perspectives (unless one comes up with one while one's mind wanders, as it will invariably do during this pointless film).<br /><br />One might better spend one's time staring out a window at a tree growing.<br /><br />",True
"This film was probably inspired by Godard's Masculin, féminin and I urge you to see that film instead.<br /><br />The film has two strong elements and those are, (1) the realistic acting (2) the impressive, undeservedly good, photo.","This film was probably inspired by Godard's Masculin, Féminin, and I urge you to watch this film instead. <br /> <br />The film has two strong elements and these are (1) the realistic drama (2) the impressive, undeserved good photo.",back-translation,"This film was probably inspired by Godard's Masculin, féminin and I urge you to see that film instead.<br /><br />The film has two strong elements and those are, (1) the realistic acting (2) the impressive, undeservedly good, photo.",True
"This film was probably inspired by Godard's Masculin, féminin and I urge you to see that film instead.<br /><br />The film has two strong elements and those are, (1) the realistic acting (2) the impressive, undeservedly good, photo.","The film has two strong elements and those are, (1) the realistic acting and (2) the impressive, undeservedly good photo.",paraphrasing,"This film was probably inspired by Godard's Masculin, féminin and I urge you to see that film instead.<br /><br />The film has two strong elements and those are, (1) the realistic acting (2) the impressive, undeservedly good, photo.",True
"Apart from that, what strikes me most is the endless stream of silliness.","Apart from what impresses me the most, the endless stream of creepyness.",back-translation,"Apart from that, what strikes me most is the endless stream of silliness.",True
"Apart from that, what strikes me most is the endless stream of silliness.",The endless stream of silliness is what strikes me most.,paraphrasing,"Apart from that, what strikes me most is the endless stream of silliness.",True
Lena Nyman has to be most annoying actress in the world.,Lena Nyman must be the most annoying actress in the world.,back-translation,Lena Nyman has to be most annoying actress in the world.,True
Lena Nyman has to be most annoying actress in the world.,There is an actress in the world that is most annoying.,paraphrasing,Lena Nyman has to be most annoying actress in the world.,True
"She acts so stupid and with all the nudity in this film,...it's unattractive.","She's acting so stupid and with all the nudity in this movie, it's unattractive.",back-translation,"She acts so stupid and with all the nudity in this film,...it's unattractive.",True
"She acts so stupid and with all the nudity in this film,...it's unattractive.",She acts stupid and with all the nudity in the film it's unattractive.,paraphrasing,"She acts so stupid and with all the nudity in this film,...it's unattractive.",True
"Without going too far on this subject, I would say that follows from the difference in ideals between the French and the Swedish society.<br /><br />A movie of its time, and place.","Without going too far on this subject, I would say that follows from the difference in ideals between French and Swedish society. <br /> <br />A film of his time, and place.",back-translation,"Without going too far on this subject, I would say that follows from the difference in ideals between the French and the Swedish society.<br /><br />A movie of its time, and place.",True
"Without going too far on this subject, I would say that follows from the difference in ideals between the French and the Swedish society.<br /><br />A movie of its time, and place.",There is a difference in ideals between the French and the Swedish society.,paraphrasing,"Without going too far on this subject, I would say that follows from the difference in ideals between the French and the Swedish society.<br /><br />A movie of its time, and place.",True
"Oh, brother...after hearing about this ridiculous film for umpteen years all I can think of is that old Peggy Lee song..<br /><br />""Is that all there is??""","Oh, brother... after hearing about this ridiculous movie for over ten years, I can only think about this old Peggy Lee song..<br /><br />""Is that all there is?""",back-translation,"Oh, brother...after hearing about this ridiculous film for umpteen years all I can think of is that old Peggy Lee song..<br /><br />""Is that all there is??""",True
"Oh, brother...after hearing about this ridiculous film for umpteen years all I can think of is that old Peggy Lee song..<br /><br />""Is that all there is??""","Oh, brother, after hearing about this ridiculous film for a long time, all I can think of is that old song.",paraphrasing,"Oh, brother...after hearing about this ridiculous film for umpteen years all I can think of is that old Peggy Lee song..<br /><br />""Is that all there is??""",True
...I was just an early teen when this smoked fish hit the U.S.,...I was just an early teenager when this smoked fish hit the United States.,back-translation,...I was just an early teen when this smoked fish hit the U.S.,True
...I was just an early teen when this smoked fish hit the U.S.,The smoked fish hit the U.S. when I was a teen.,paraphrasing,...I was just an early teen when this smoked fish hit the U.S.,True
"I was too young to get in the theater (although I did manage to sneak into ""Goodbye Columbus"").",I was too young to come to the theater (although I managed to sneak into Goodbye Columbus).,back-translation,"I was too young to get in the theater (although I did manage to sneak into ""Goodbye Columbus"").",True
"I was too young to get in the theater (although I did manage to sneak into ""Goodbye Columbus"").",I was too young to go to the theater.,paraphrasing,"I was too young to get in the theater (although I did manage to sneak into ""Goodbye Columbus"").",True
"Then a screening at a local film museum beckoned - Finally I could see this film, except now I was as old as my parents were when they schlepped to see it!","Then a demonstration waved in a local film museum - Finally I could see this movie, except now I was as old as my parents when they caught him!",back-translation,"Then a screening at a local film museum beckoned - Finally I could see this film, except now I was as old as my parents were when they schlepped to see it!",True
"Then a screening at a local film museum beckoned - Finally I could see this film, except now I was as old as my parents were when they schlepped to see it!","I was finally able to see this film at a local film museum, but I was as old as my parents were when they went to see it.",paraphrasing,"Then a screening at a local film museum beckoned - Finally I could see this film, except now I was as old as my parents were when they schlepped to see it!",True
!<br /><br />The ONLY reason this film was not condemned to the anonymous sands of time was because of the obscenity case sparked by its U.S. release.,The only reason why this film was not condemned to the anonymous sand of the time was the obscenity case triggered by its publication in the US.,back-translation,!<br /><br />The ONLY reason this film was not condemned to the anonymous sands of time was because of the obscenity case sparked by its U.S. release.,True
!<br /><br />The ONLY reason this film was not condemned to the anonymous sands of time was because of the obscenity case sparked by its U.S. release.,The obscenity case sparked by its U.S. release was the only reason this film was not condemned to the anonymous sands of time.,paraphrasing,!<br /><br />The ONLY reason this film was not condemned to the anonymous sands of time was because of the obscenity case sparked by its U.S. release.,True
I would put this at the top of my list of films in the category of unwatchable trash!,I would do this to the top of my list of movies in the category of unobtrusive garbage!,back-translation,I would put this at the top of my list of films in the category of unwatchable trash!,True
I would put this at the top of my list of films in the category of unwatchable trash!,This film is in the category of unwatchable trash.,paraphrasing,I would put this at the top of my list of films in the category of unwatchable trash!,True
"There are films that are bad, but the worst kind are the ones that are unwatchable but you are suppose to like them because they are supposed to be good for you!","There are movies that are bad, but the worst kind are those that are not to be seen, but you assume they like because they should be good for you!",back-translation,"There are films that are bad, but the worst kind are the ones that are unwatchable but you are suppose to like them because they are supposed to be good for you!",True
"There are films that are bad, but the worst kind are the ones that are unwatchable but you are suppose to like them because they are supposed to be good for you!","The films that are the worst are the ones that are supposed to be good for you, even if they are unwatchable.",paraphrasing,"There are films that are bad, but the worst kind are the ones that are unwatchable but you are suppose to like them because they are supposed to be good for you!",True
"The sex sequences, so shocking in its day, couldn't even arouse a rabbit.","The sex sequences, which were so shocking at the time, could not even wake a rabbit.",back-translation,"The sex sequences, so shocking in its day, couldn't even arouse a rabbit.",True
"The sex sequences, so shocking in its day, couldn't even arouse a rabbit.","In its day, the sex sequence couldn't arouse a rabbit.",paraphrasing,"The sex sequences, so shocking in its day, couldn't even arouse a rabbit.",True
The so called controversial politics is strictly high school sophomore amateur night Marxism.,The so-called controversial policy is strictly high school sophomore amateur night Marxism.,back-translation,The so called controversial politics is strictly high school sophomore amateur night Marxism.,True
The so called controversial politics is strictly high school sophomore amateur night Marxism.,High school sophomore amateur night Marxism is the subject of controversial politics.,paraphrasing,The so called controversial politics is strictly high school sophomore amateur night Marxism.,True
