root_sentence,perturbed_sentence,method
I rented I AM CURIOUS-YELLOW from my video store because of all the controversy that surrounded it when it was first released in 1967.,"Because of the controversy surrounding I AM CURIOUS-YELLOW when it was first released in 1967, I rented it from my video store.",paraphrasing
I rented I AM CURIOUS-YELLOW from my video store because of all the controversy that surrounded it when it was first released in 1967.,"""I rented I AM CURIOUS-YELLOW from my video store because of all the controversy that surrounded it when it was first released in 1967.""",diplomatic-attack
In particular she wants to focus her attentions to making some sort of documentary on what the average Swede thought about certain political issues such as the Vietnam War and race issues in the United States.,"She aims to shift her focus towards making a documentary that documents the perspective of average Swedes on political and societal issues, such as the Vietnam War and race relations in the United States.",paraphrasing
In particular she wants to focus her attentions to making some sort of documentary on what the average Swede thought about certain political issues such as the Vietnam War and race issues in the United States.,"In particular she wants to focus her attentions on making some sort of documentary on what the average Swede thought about certain political issues such as the Vietnam War and race issues in the United States.""",diplomatic-attack
"Really, the sex and nudity scenes are few and far between, even then it's not shot like some cheaply made porno.","The sex and nudity scenes are infrequent, and even then, they're not as well-recorded as they would be in a poorly made pornographic film.",paraphrasing
"Really, the sex and nudity scenes are few and far between, even then it's not shot like some cheaply made porno.","""The sex and nudity scenes are few and far between, even then it's not shot like some cheaply made porno.""",diplomatic-attack
"While my countrymen mind find it shocking, in reality sex and nudity are a major staple in Swedish cinema.","Sex and nudity in Swedish films have become a major part of the film industry, a fact that is hard to shake off from, even for my countrymen's minds.",paraphrasing
"While my countrymen mind find it shocking, in reality sex and nudity are a major staple in Swedish cinema.","""While my countrymen mind find it shocking, in reality sex and nudity are a major staple in Swedish cinema.""",diplomatic-attack
I AM CURIOUS-YELLOW is a good film for anyone wanting to study the meat and potatoes (no pun intended) of Swedish cinema.,I AM CURIOUS-YELLOW is a film that is a good introduction to Swedish cinema's meat and potatoes (no pun intended).,paraphrasing
I AM CURIOUS-YELLOW is a good film for anyone wanting to study the meat and potatoes (no pun intended) of Swedish cinema.,"""I AM CURIOUS-YELLOW is a good film for anyone wanting to study the meat and potatoes (no pun intended) of Swedish cinema.""",diplomatic-attack
"""I Am Curious: Yellow"" is a risible and pretentious steaming pile.","""I Am Curious: Yellow"" is a steaming pile that is both risqué and ostentatious.",paraphrasing
"""I Am Curious: Yellow"" is a risible and pretentious steaming pile.","""I Am Curious: Yellow"" is a risible and pretentious steaming pile.""",diplomatic-attack
It doesn't matter what one's political views are because this film can hardly be taken seriously on any level.,"Regardless of one's political stance, this film is highly insipid and can never be taken seriously.",paraphrasing
It doesn't matter what one's political views are because this film can hardly be taken seriously on any level.,It doesn't matter what one's political views are because this film can hardly be taken seriously on any level.,diplomatic-attack
"As for the claim that frontal male nudity is an automatic NC-17, that isn't true.","Frontal male nudity is not an automatic NC-17, as some argue that it is.",paraphrasing
"As for the claim that frontal male nudity is an automatic NC-17, that isn't true.","""As for the claim that frontal male nudity is an automatic NC-17, that isn't true.""",diplomatic-attack
"Granted, they only offer some fleeting views, but where are the R-rated films with gaping vulvas and flapping labia?","Where are the R-rated movies with gaping vulvas and flapping labia, even though they offer only a few fleeting glimpses?",paraphrasing
"Granted, they only offer some fleeting views, but where are the R-rated films with gaping vulvas and flapping labia?","""They offer some fleeting views, but where are the R-rated films with gaping vulvas and flapping labia?""",diplomatic-attack
The same goes for those crappy cable shows: schlongs swinging in the breeze but not a clitoris in sight.,The same goes for those unsatisfying cable networks: schlongs swaying in the wind but no clitoris in sight.,paraphrasing
The same goes for those crappy cable shows: schlongs swinging in the breeze but not a clitoris in sight.,"""The same goes for those crappy cable shows: schlongs swinging in the breeze but not a clitoris in sight.""",diplomatic-attack
"And those pretentious indie movies like The Brown Bunny, in which we're treated to the site of Vincent Gallo's throbbing johnson, but not a trace of pink visible on Chloe Sevigny.","Those pretentious indie films like The Brown Bunny, where we're treated to the scene of Vincent Gallo's violent murder, but there's not a hint of pink on Chloe Sevigny's skin.",paraphrasing
