root_sentence,perturbed_sentence,method,predicted_root,is_correct
I rented I AM CURIOUS-YELLOW from my video store because of all the controversy that surrounded it when it was first released in 1967.,"Because of the controversy surrounding I AM CURIOUS-YELLOW when it was first released in 1967, I rented it from my video store.",paraphrasing,I rented I AM CURIOUS-YELLOW from my video store because of all the controversy that surrounded it when it was first released in 1967.,True
I rented I AM CURIOUS-YELLOW from my video store because of all the controversy that surrounded it when it was first released in 1967.,"""I rented I AM CURIOUS-YELLOW from my video store because of all the controversy that surrounded it when it was first released in 1967.""",diplomatic-attack,I rented I AM CURIOUS-YELLOW from my video store because of all the controversy that surrounded it when it was first released in 1967.,True
In particular she wants to focus her attentions to making some sort of documentary on what the average Swede thought about certain political issues such as the Vietnam War and race issues in the United States.,"She aims to shift her focus towards making a documentary that documents the perspective of average Swedes on political and societal issues, such as the Vietnam War and race relations in the United States.",paraphrasing,In particular she wants to focus her attentions to making some sort of documentary on what the average Swede thought about certain political issues such as the Vietnam War and race issues in the United States.,True
In particular she wants to focus her attentions to making some sort of documentary on what the average Swede thought about certain political issues such as the Vietnam War and race issues in the United States.,"""In particular she wants to focus her attentions to making some sort of documentary on what the average Swede thought about certain political issues such as the Vietnam War and race issues in the United States.""",diplomatic-attack,In particular she wants to focus her attentions to making some sort of documentary on what the average Swede thought about certain political issues such as the Vietnam War and race issues in the United States.,True
"Really, the sex and nudity scenes are few and far between, even then it's not shot like some cheaply made porno.","The sex and nudity scenes are infrequent, and even then, they're not as well-recorded as they would be in a poorly made pornographic film.",paraphrasing,"Really, the sex and nudity scenes are few and far between, even then it's not shot like some cheaply made porno.",True
"Really, the sex and nudity scenes are few and far between, even then it's not shot like some cheaply made porno.","""Really, the sex and nudity scenes are few and far between, even then it's not shot like some cheaply made porno.""",diplomatic-attack,"Really, the sex and nudity scenes are few and far between, even then it's not shot like some cheaply made porno.",True
"While my countrymen mind find it shocking, in reality sex and nudity are a major staple in Swedish cinema.","Sex and nudity in Swedish films have become a major part of the film industry, a fact that is hard to shake off from, even for my countrymen's minds.",paraphrasing,"While my countrymen mind find it shocking, in reality sex and nudity are a major staple in Swedish cinema.",True
"While my countrymen mind find it shocking, in reality sex and nudity are a major staple in Swedish cinema.","""While my countrymen mind find it shocking, in reality sex and nudity are a major staple in Swedish cinema.""",diplomatic-attack,"While my countrymen mind find it shocking, in reality sex and nudity are a major staple in Swedish cinema.",True
I AM CURIOUS-YELLOW is a good film for anyone wanting to study the meat and potatoes (no pun intended) of Swedish cinema.,I AM CURIOUS-YELLOW is a film that is a good introduction to Swedish cinema's meat and potatoes (no pun intended).,paraphrasing,I AM CURIOUS-YELLOW is a good film for anyone wanting to study the meat and potatoes (no pun intended) of Swedish cinema.,True
I AM CURIOUS-YELLOW is a good film for anyone wanting to study the meat and potatoes (no pun intended) of Swedish cinema.,"""I AM CURIOUS-YELLOW is a good film for anyone wanting to study the meat and potatoes (no pun intended) of Swedish cinema.""",diplomatic-attack,I AM CURIOUS-YELLOW is a good film for anyone wanting to study the meat and potatoes (no pun intended) of Swedish cinema.,True
"""I Am Curious: Yellow"" is a risible and pretentious steaming pile.","""I Am Curious: Yellow"" is a steaming pile that is both risqué and ostentatious.",paraphrasing,"""I Am Curious: Yellow"" is a risible and pretentious steaming pile.",True
"""I Am Curious: Yellow"" is a risible and pretentious steaming pile.","""I Am Curious: Yellow"" is a risible and pretentious steaming pile.""",diplomatic-attack,"""I Am Curious: Yellow"" is a risible and pretentious steaming pile.",True
It doesn't matter what one's political views are because this film can hardly be taken seriously on any level.,"Regardless of one's political stance, this film is highly insipid and can never be taken seriously.",paraphrasing,It doesn't matter what one's political views are because this film can hardly be taken seriously on any level.,True
It doesn't matter what one's political views are because this film can hardly be taken seriously on any level.,"""It doesn't matter what one's political views are because this film can hardly be taken seriously on any level.""",diplomatic-attack,It doesn't matter what one's political views are because this film can hardly be taken seriously on any level.,True
"As for the claim that frontal male nudity is an automatic NC-17, that isn't true.","Frontal male nudity is not an automatic NC-17, as some argue that it is.",paraphrasing,"As for the claim that frontal male nudity is an automatic NC-17, that isn't true.",True
"As for the claim that frontal male nudity is an automatic NC-17, that isn't true.","""As for the claim that frontal male nudity is an automatic NC-17, that isn't true.""",diplomatic-attack,"As for the claim that frontal male nudity is an automatic NC-17, that isn't true.",True
"Granted, they only offer some fleeting views, but where are the R-rated films with gaping vulvas and flapping labia?","Where are the R-rated movies with gaping vulvas and flapping labia, even though they offer only a few fleeting glimpses?",paraphrasing,"Granted, they only offer some fleeting views, but where are the R-rated films with gaping vulvas and flapping labia?",True
"Granted, they only offer some fleeting views, but where are the R-rated films with gaping vulvas and flapping labia?","""Granted, they only offer some fleeting views, but where are the R-rated films with gaping vulvas and flapping labia?""",diplomatic-attack,"Granted, they only offer some fleeting views, but where are the R-rated films with gaping vulvas and flapping labia?",True
The same goes for those crappy cable shows: schlongs swinging in the breeze but not a clitoris in sight.,The same goes for those unsatisfying cable networks: schlongs swaying in the wind but no clitoris in sight.,paraphrasing,The same goes for those crappy cable shows: schlongs swinging in the breeze but not a clitoris in sight.,True
The same goes for those crappy cable shows: schlongs swinging in the breeze but not a clitoris in sight.,"""The same goes for those crappy cable shows: schlongs swinging in the breeze but not a clitoris in sight.""",diplomatic-attack,The same goes for those crappy cable shows: schlongs swinging in the breeze but not a clitoris in sight.,True
"And those pretentious indie movies like The Brown Bunny, in which we're treated to the site of Vincent Gallo's throbbing johnson, but not a trace of pink visible on Chloe Sevigny.","Those pretentious indie films like The Brown Bunny, where we're treated to the scene of Vincent Gallo's violent murder, but there's not a hint of pink on Chloe Sevigny's skin.",paraphrasing,"And those pretentious indie movies like The Brown Bunny, in which we're treated to the site of Vincent Gallo's throbbing johnson, but not a trace of pink visible on Chloe Sevigny.",True
"And those pretentious indie movies like The Brown Bunny, in which we're treated to the site of Vincent Gallo's throbbing johnson, but not a trace of pink visible on Chloe Sevigny.","""And those pretentious indie movies like The Brown Bunny, in which we're treated to the site of Vincent Gallo's throbbing johnson, but not a trace of pink visible on Chloe Sevigny.""",diplomatic-attack,"And those pretentious indie movies like The Brown Bunny, in which we're treated to the site of Vincent Gallo's throbbing johnson, but not a trace of pink visible on Chloe Sevigny.",True
"In fact, you generally won't see female genitals in an American film in anything short of porn or explicit erotica.",Female genitalia are typically absent in American movies that are not classified as pornographic or explicit erotica.,paraphrasing,"In fact, you generally won't see female genitals in an American film in anything short of porn or explicit erotica.",True
"In fact, you generally won't see female genitals in an American film in anything short of porn or explicit erotica.","""In fact, you generally won't see female genitals in an American film in anything short of porn or explicit erotica.""",diplomatic-attack,"In fact, you generally won't see female genitals in an American film in anything short of porn or explicit erotica.",True
This alleged double-standard is less a double standard than an admittedly depressing ability to come to terms culturally with the insides of women's bodies.,The supposed double-standard is less of a double-standard and more of a genuinely depressing ability to come to terms with the cultural realities of women's bodies.,paraphrasing,This alleged double-standard is less a double standard than an admittedly depressing ability to come to terms culturally with the insides of women's bodies.,True
This alleged double-standard is less a double standard than an admittedly depressing ability to come to terms culturally with the insides of women's bodies.,"""This alleged double-standard is less a double standard than an admittedly depressing ability to come to terms culturally with the insides of women's bodies.""",diplomatic-attack,This alleged double-standard is less a double standard than an admittedly depressing ability to come to terms culturally with the insides of women's bodies.,True
If only to avoid making this type of film in the future.,The goal is to prevent the production of such films in the future.,paraphrasing,If only to avoid making this type of film in the future.,True
If only to avoid making this type of film in the future.,If only to avoid making this type of film in the future.,diplomatic-attack,If only to avoid making this type of film in the future.,True
This film is interesting as an experiment but tells no cogent story.<br /><br />One might feel virtuous for sitting thru it because it touches on so many IMPORTANT issues but it does so without any discernable motive.,"Despite being entertaining as an experiment, the film lacks a meaningful narrative.br />br />br />br />br />br />br />br />br />br />br />br />br />br />br />br />br /",paraphrasing,"has never emerged.<br /><br />All in all, though, the movie is harmless, only a waste of rental.",False
This film is interesting as an experiment but tells no cogent story.<br /><br />One might feel virtuous for sitting thru it because it touches on so many IMPORTANT issues but it does so without any discernable motive.,This film is interesting as an experiment but tells no cogent story.br />br />One might feel virtuous for sitting thru it because it touches on so many IMPORTANT issues but it does so without any discernible motive.br />br />One might feel virtuous for sitting thru it because it touches on so many IMPORTANT issues but it does so without any,diplomatic-attack,This film is interesting as an experiment but tells no cogent story.<br /><br />One might feel virtuous for sitting thru it because it touches on so many IMPORTANT issues but it does so without any discernable motive.,True
"This film was probably inspired by Godard's Masculin, féminin and I urge you to see that film instead.<br /><br />The film has two strong elements and those are, (1) the realistic acting (2) the impressive, undeservedly good, photo.","Godard's Masculin, féminin may have been the inspiration for this movie and you should check it out if you haven't already. The movie has two notable aspects: the realistic portrayal and the impressive photo.",paraphrasing,"This film was probably inspired by Godard's Masculin, féminin and I urge you to see that film instead.<br /><br />The film has two strong elements and those are, (1) the realistic acting (2) the impressive, undeservedly good, photo.",True
"This film was probably inspired by Godard's Masculin, féminin and I urge you to see that film instead.<br /><br />The film has two strong elements and those are, (1) the realistic acting (2) the impressive, undeservedly good, photo.","""This film was probably inspired by Godard's Masculin, féminin and I urge you to see that film instead.br />br />The film has two strong elements and those are, (1) the realistic acting (2) the impressive, undeservedly good, photo.""",diplomatic-attack,"This film was probably inspired by Godard's Masculin, féminin and I urge you to see that film instead.<br /><br />The film has two strong elements and those are, (1) the realistic acting (2) the impressive, undeservedly good, photo.",True
"Apart from that, what strikes me most is the endless stream of silliness.","With the exception of that, the most striking aspect is the unrelenting stream of nonsensical nonsense.",paraphrasing,"Apart from that, what strikes me most is the endless stream of silliness.",True
"Apart from that, what strikes me most is the endless stream of silliness.","""Apart from that, what strikes me most is the endless stream of silliness.""",diplomatic-attack,"Apart from that, what strikes me most is the endless stream of silliness.",True
Lena Nyman has to be most annoying actress in the world.,Lena Nyman is the world's most irritating actress.,paraphrasing,Lena Nyman has to be most annoying actress in the world.,True
Lena Nyman has to be most annoying actress in the world.,"""Lena Nyman has to be most annoying actress in the world.""",diplomatic-attack,Lena Nyman has to be most annoying actress in the world.,True
"She acts so stupid and with all the nudity in this film,...it's unattractive.","She's so foolish and with all the nudity in this movie,...it's unattractive.",paraphrasing,"She acts so stupid and with all the nudity in this film,...it's unattractive.",True
"She acts so stupid and with all the nudity in this film,...it's unattractive.","""She acts so stupid and with all the nudity in this film,...it's unattractive.""",diplomatic-attack,"She acts so stupid and with all the nudity in this film,...it's unattractive.",True
"Without going too far on this subject, I would say that follows from the difference in ideals between the French and the Swedish society.<br /><br />A movie of its time, and place.",br />br />br />br />br />br />br />br />br />br />br />br />br />br />br />br />br />br />br br />br />b,paraphrasing,"has never emerged.<br /><br />All in all, though, the movie is harmless, only a waste of rental.",False
"Without going too far on this subject, I would say that follows from the difference in ideals between the French and the Swedish society.<br /><br />A movie of its time, and place.","A movie of its time, and place.br />br />A movie of its time, and place.br />A movie of its time, and place.br />A movie of its time, and place.br />A movie of its time, and place.br />A movie of its time, and place.br />A movie of",diplomatic-attack,"This movie is not for the typical film snob, unless you want to brush up on your typical cinematic definitions, like ""continuity editing"" and ""geographic match"".",False
"Oh, brother...after hearing about this ridiculous film for umpteen years all I can think of is that old Peggy Lee song..<br /><br />""Is that all there is??""",br />br />br />br />br />br />br />br />br />br />br />br />br />br />br />br />br />br />br br br br b,paraphrasing,"has never emerged.<br /><br />All in all, though, the movie is harmless, only a waste of rental.",False
"Oh, brother...after hearing about this ridiculous film for umpteen years all I can think of is that old Peggy Lee song..<br /><br />""Is that all there is??""","""Oh, brother...after hearing about this ridiculous film for umpteen years all I can think of is that old Peggy Lee song..br />br />""Is that all there is?""""",diplomatic-attack,"Oh, brother...after hearing about this ridiculous film for umpteen years all I can think of is that old Peggy Lee song..<br /><br />""Is that all there is??""",True
...I was just an early teen when this smoked fish hit the U.S.,"When this smoked fish first appeared in the U.S. in my early teen years, I was an early teen.",paraphrasing,...I was just an early teen when this smoked fish hit the U.S.,True
...I was just an early teen when this smoked fish hit the U.S.,"""...I was just an early teen when this smoked fish hit the U.S.""",diplomatic-attack,...I was just an early teen when this smoked fish hit the U.S.,True
